=== Task 6 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 1e-2
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_1e-2
Creating experiment directory: ./exps_410m/experiments/adamw/lr_1e-2
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 68800 | step: 2150 | tokens: 1127219200 | lr: 1.000e-02 | train/loss: 6.100e+00 | train/loss_avg: 6.290e+00 | train/ppl: 4.461e+02 | train/ppl_avg: 5.390e+02 | optim/grad_norm: 8.503e-01 | optim/update_norm: 2.386e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 70400 | step: 2200 | tokens: 1153433600 | lr: 1.000e-02 | train/loss: 6.328e+00 | train/loss_avg: 6.257e+00 | train/ppl: 5.598e+02 | train/ppl_avg: 5.217e+02 | optim/grad_norm: 7.712e-01 | optim/update_norm: 2.572e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 72000 | step: 2250 | tokens: 1179648000 | lr: 1.000e-02 | train/loss: 6.301e+00 | train/loss_avg: 6.268e+00 | train/ppl: 5.450e+02 | train/ppl_avg: 5.273e+02 | optim/grad_norm: 9.678e-01 | optim/update_norm: 2.501e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 73600 | step: 2300 | tokens: 1205862400 | lr: 1.000e-02 | train/loss: 6.315e+00 | train/loss_avg: 6.239e+00 | train/ppl: 5.527e+02 | train/ppl_avg: 5.122e+02 | optim/grad_norm: 3.382e+00 | optim/update_norm: 2.544e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 75200 | step: 2350 | tokens: 1232076800 | lr: 1.000e-02 | train/loss: 6.251e+00 | train/loss_avg: 6.232e+00 | train/ppl: 5.184e+02 | train/ppl_avg: 5.086e+02 | optim/grad_norm: 8.932e+00 | optim/update_norm: 2.703e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 76800 | step: 2400 | tokens: 1258291200 | lr: 1.000e-02 | train/loss: 6.112e+00 | train/loss_avg: 6.223e+00 | train/ppl: 4.514e+02 | train/ppl_avg: 5.044e+02 | optim/grad_norm: 1.062e+00 | optim/update_norm: 2.653e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 78400 | step: 2450 | tokens: 1284505600 | lr: 1.000e-02 | train/loss: 6.183e+00 | train/loss_avg: 6.214e+00 | train/ppl: 4.845e+02 | train/ppl_avg: 4.995e+02 | optim/grad_norm: 2.686e+00 | optim/update_norm: 2.723e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 80000 | step: 2500 | tokens: 1310720000 | lr: 1.000e-02 | train/loss: 6.179e+00 | train/loss_avg: 6.230e+00 | train/ppl: 4.826e+02 | train/ppl_avg: 5.076e+02 | optim/grad_norm: 1.228e+00 | optim/update_norm: 2.697e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 81600 | step: 2550 | tokens: 1336934400 | lr: 1.000e-02 | train/loss: 6.163e+00 | train/loss_avg: 6.230e+00 | train/ppl: 4.751e+02 | train/ppl_avg: 5.077e+02 | optim/grad_norm: 9.780e-01 | optim/update_norm: 2.447e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 83200 | step: 2600 | tokens: 1363148800 | lr: 1.000e-02 | train/loss: 6.119e+00 | train/loss_avg: 6.203e+00 | train/ppl: 4.545e+02 | train/ppl_avg: 4.941e+02 | optim/grad_norm: 7.551e+00 | optim/update_norm: 2.552e+01 | optim/lr_eff: 1.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
