=== Task 3 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 3e-4
host   = mbz-titan-2
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_3e-4
Creating experiment directory: ./exps_410m/experiments/adamw/lr_3e-4
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 65600 | step: 2050 | tokens: 1074790400 | lr: 3.000e-04 | train/loss: 3.491e+00 | train/loss_avg: 3.497e+00 | train/ppl: 3.283e+01 | train/ppl_avg: 3.302e+01 | optim/grad_norm: 2.934e-01 | optim/update_norm: 1.198e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 67200 | step: 2100 | tokens: 1101004800 | lr: 3.000e-04 | train/loss: 3.554e+00 | train/loss_avg: 3.484e+00 | train/ppl: 3.496e+01 | train/ppl_avg: 3.260e+01 | optim/grad_norm: 2.320e-01 | optim/update_norm: 1.204e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 68800 | step: 2150 | tokens: 1127219200 | lr: 3.000e-04 | train/loss: 3.377e+00 | train/loss_avg: 3.475e+00 | train/ppl: 2.930e+01 | train/ppl_avg: 3.231e+01 | optim/grad_norm: 2.144e-01 | optim/update_norm: 1.204e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 70400 | step: 2200 | tokens: 1153433600 | lr: 3.000e-04 | train/loss: 3.512e+00 | train/loss_avg: 3.461e+00 | train/ppl: 3.352e+01 | train/ppl_avg: 3.184e+01 | optim/grad_norm: 2.372e-01 | optim/update_norm: 1.207e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 72000 | step: 2250 | tokens: 1179648000 | lr: 3.000e-04 | train/loss: 3.365e+00 | train/loss_avg: 3.457e+00 | train/ppl: 2.892e+01 | train/ppl_avg: 3.173e+01 | optim/grad_norm: 2.163e-01 | optim/update_norm: 1.200e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 73600 | step: 2300 | tokens: 1205862400 | lr: 3.000e-04 | train/loss: 3.590e+00 | train/loss_avg: 3.444e+00 | train/ppl: 3.625e+01 | train/ppl_avg: 3.130e+01 | optim/grad_norm: 2.260e-01 | optim/update_norm: 1.214e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 75200 | step: 2350 | tokens: 1232076800 | lr: 3.000e-04 | train/loss: 3.515e+00 | train/loss_avg: 3.431e+00 | train/ppl: 3.360e+01 | train/ppl_avg: 3.090e+01 | optim/grad_norm: 2.284e-01 | optim/update_norm: 1.224e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 76800 | step: 2400 | tokens: 1258291200 | lr: 3.000e-04 | train/loss: 3.232e+00 | train/loss_avg: 3.428e+00 | train/ppl: 2.534e+01 | train/ppl_avg: 3.082e+01 | optim/grad_norm: 2.139e-01 | optim/update_norm: 1.219e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 78400 | step: 2450 | tokens: 1284505600 | lr: 3.000e-04 | train/loss: 3.243e+00 | train/loss_avg: 3.420e+00 | train/ppl: 2.561e+01 | train/ppl_avg: 3.058e+01 | optim/grad_norm: 2.285e-01 | optim/update_norm: 1.221e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 80000 | step: 2500 | tokens: 1310720000 | lr: 3.000e-04 | train/loss: 3.245e+00 | train/loss_avg: 3.409e+00 | train/ppl: 2.567e+01 | train/ppl_avg: 3.025e+01 | optim/grad_norm: 2.374e-01 | optim/update_norm: 1.221e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
